coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,pascal_voc/mAP,pascal_voc/AP50,data_time,time,step
0.581,0.966,0.676,-1.0,-1.0,0.581,0.968666672706604,0.969,0.12937749515880237,0.24151362072337756,5.0
0.769,0.97,0.889,-1.0,-1.0,0.769,0.963491678237915,0.963,0.01934771952421769,0.12386950202610182,10.0
0.818,0.979,0.939,-1.0,-1.0,0.818,0.9956710338592529,0.996,0.015314133270927097,0.11813968160878056,15.0
0.826,0.979,0.959,-1.0,-1.0,0.826,0.9956710338592529,0.996,0.014782801918361498,0.11793879840684973,20.0
0.822,0.98,0.94,-1.0,-1.0,0.822,0.9977827072143555,0.998,0.01967665423517642,0.12203923515651537,25.0
0.831,0.98,0.94,-1.0,-1.0,0.831,0.996714174747467,0.997,0.018135682396266773,0.12132337818975034,30.0
0.843,0.98,0.94,-1.0,-1.0,0.843,0.9956710338592529,0.996,0.019478061924809994,0.12214051122250764,35.0
0.835,0.979,0.959,-1.0,-1.0,0.835,0.9936575293540955,0.994,0.013826276945031208,0.11676347774008046,40.0
0.836,0.98,0.96,-1.0,-1.0,0.836,0.9977827072143555,0.998,0.009304347245589546,0.128478247186412,45.0
0.836,0.98,0.97,-1.0,-1.0,0.836,0.9988777041435242,0.999,0.014608600865239683,0.12690458090408988,50.0
