coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,data_time,time,step
0.007,0.028,0.0,-1.0,-1.0,0.007,0.5133854042400013,0.5987371097911488,5.0
0.185,0.532,0.065,-1.0,-1.0,0.185,0.22903887430826822,0.28150532643000287,10.0
0.09,0.259,0.029,-1.0,-1.0,0.09,0.262760063012441,0.3007599115371704,15.0
0.343,0.886,0.138,-1.0,-1.0,0.343,0.24816630283991495,0.29504479964574176,20.0
0.492,0.888,0.577,-1.0,-1.0,0.492,0.2512434919675191,0.28857765595118207,25.0
0.412,0.833,0.342,-1.0,-1.0,0.412,0.25510040918986004,0.29926355679829914,30.0
0.495,0.934,0.478,-1.0,-1.0,0.495,0.2600156267484029,0.2976820270220439,35.0
0.483,0.952,0.337,-1.0,-1.0,0.483,0.23859016100565592,0.2950063943862915,40.0
0.385,0.951,0.15,-1.0,-1.0,0.385,0.2516620953877767,0.29158125321070355,45.0
0.668,0.963,0.939,-1.0,-1.0,0.668,0.24265195926030478,0.2916688124338786,50.0
0.672,0.957,0.911,-1.0,-1.0,0.672,0.2519207199414571,0.290714164574941,55.0
0.672,0.968,0.87,-1.0,-1.0,0.672,0.2506204644838969,0.29971299568812054,60.0
0.599,0.966,0.743,-1.0,-1.0,0.599,0.2561696569124858,0.3007497986157735,65.0
0.678,0.96,0.829,-1.0,-1.0,0.678,0.24930574496587118,0.2978416681289673,70.0
0.564,0.966,0.664,-1.0,-1.0,0.564,0.24959254264831543,0.2896759708722432,75.0
0.778,0.97,0.97,-1.0,-1.0,0.778,0.24585052331288657,0.2979859908421834,80.0
0.62,0.968,0.819,-1.0,-1.0,0.62,0.25967766841252643,0.2995110750198364,85.0
0.777,0.969,0.946,-1.0,-1.0,0.777,0.2536541223526001,0.30666550000508624,90.0
0.723,0.965,0.965,-1.0,-1.0,0.723,0.2666425108909607,0.30600833892822266,95.0
0.787,0.964,0.964,-1.0,-1.0,0.787,0.24717020988464355,0.2917533715565999,100.0
0.697,0.96,0.96,-1.0,-1.0,0.697,0.24886459112167358,0.28949594497680664,105.0
0.668,0.956,0.956,-1.0,-1.0,0.668,0.23435542980829874,0.28893864154815674,110.0
0.688,0.97,0.942,-1.0,-1.0,0.688,0.2488966385523478,0.29069141546885174,115.0
