coco/AP,coco/AP .5,coco/AP .75,coco/AP (M),coco/AP (L),coco/AR,coco/AR .5,coco/AR .75,coco/AR (M),coco/AR (L),PCK,AUC,NME,data_time,time,step
0.002781707,0.01650165,0,-1,0.002781707,0.014285714,0.095238095,0,-1,0.014285714,0.376417234,0.006462585,0.206619366,1.186688701,1.282946507,10
0,0,0,-1,0,0,0,0,-1,0,0.069160998,0.002947846,0.424477713,0.749013356,0.846732957,20
0.026828133,0.206235128,0,-1,0.026828133,0.047619048,0.30952381,0,-1,0.047619048,0.408163265,0.014909297,0.136007538,0.698180539,0.78689347,30
0.141043914,0.494325503,0.004714757,-1,0.141043914,0.2,0.595238095,0.047619048,-1,0.2,0.611111111,0.027324263,0.107890157,0.742464781,0.831179142,40
0.358379462,0.917821782,0.064123471,-1,0.358379462,0.392857143,0.928571429,0.142857143,-1,0.392857143,0.768707483,0.041893424,0.084516443,0.696101427,0.780242443,50
0.415577987,0.946872736,0.185368537,-1,0.415577987,0.442857143,0.952380952,0.285714286,-1,0.442857143,0.818594104,0.040702948,0.080143157,0.700787306,0.786913293,60
0.547449884,1,0.515324713,-1,0.547449884,0.592857143,1,0.642857143,-1,0.592857143,0.929705215,0.057142857,0.057296883,0.685645682,0.786359446,70
0.551996837,0.97029703,0.596254598,-1,0.551996837,0.588095238,0.976190476,0.69047619,-1,0.588095238,0.919501134,0.059807256,0.05823644,0.717766966,0.799338,80
0.563638019,1,0.593948682,-1,0.563638019,0.611904762,1,0.714285714,-1,0.611904762,0.921768707,0.06723356,0.056306921,0.737640449,0.818497351,90
0.650269592,1,0.766413321,-1,0.650269592,0.680952381,1,0.80952381,-1,0.680952381,0.946712018,0.075793651,0.051501198,0.739701816,0.819427831,100
0.616707115,1,0.741230045,-1,0.616707115,0.642857143,1,0.785714286,-1,0.642857143,0.930839002,0.075623583,0.052850983,0.745883703,0.824737617,110
0.563556265,0.97029703,0.472271754,-1,0.563556265,0.59047619,0.976190476,0.523809524,-1,0.59047619,0.893424036,0.069331066,0.061247962,0.738519566,0.827805383,120
0.604345161,1,0.720718205,-1,0.604345161,0.642857143,1,0.761904762,-1,0.642857143,0.928571429,0.069444444,0.053450924,0.7107437,0.805965424,130
0.670932723,1,0.873205976,-1,0.670932723,0.69047619,1,0.880952381,-1,0.69047619,0.945578231,0.079875283,0.049648648,0.708591291,0.811019966,140
0.635354688,1,0.780669496,-1,0.635354688,0.671428571,1,0.80952381,-1,0.671428571,0.930839002,0.086281179,0.050903104,0.724165916,0.805243867,150
0.678319989,1,0.852342481,-1,0.678319989,0.707142857,1,0.880952381,-1,0.707142857,0.959183673,0.089739229,0.04737245,0.719856024,0.810434989,160
0.609993756,1,0.683558302,-1,0.609993756,0.635714286,1,0.714285714,-1,0.635714286,0.931972789,0.078571429,0.053362719,0.713286536,0.804346595,170
0.627777188,1,0.68495983,-1,0.627777188,0.661904762,1,0.738095238,-1,0.661904762,0.945578231,0.071882086,0.051980449,0.695232698,0.80102488,180
0.696967767,1,0.859122145,-1,0.696967767,0.726190476,1,0.880952381,-1,0.726190476,0.952380952,0.109750567,0.045722339,0.702427762,0.803999288,190
0.700807556,1,0.854729776,-1,0.700807556,0.723809524,1,0.880952381,-1,0.723809524,0.959183673,0.102947846,0.045260561,0.721946308,0.804026127,200
0.698586517,1,0.884999392,-1,0.698586517,0.735714286,1,0.904761905,-1,0.735714286,0.961451247,0.098469388,0.045157859,0.735166686,0.81530915,210
0.696631551,1,0.850107777,-1,0.696631551,0.74047619,1,0.880952381,-1,0.74047619,0.9569161,0.115362812,0.044032013,0.717030423,0.817028318,220
0.724126654,1,0.912606922,-1,0.724126654,0.761904762,1,0.928571429,-1,0.761904762,0.971655329,0.107256236,0.042721175,0.727113451,0.812970434,230
0.755732313,1,0.97029703,-1,0.755732313,0.785714286,1,0.976190476,-1,0.785714286,0.971655329,0.119331066,0.041315879,0.739960534,0.831675461,240
0.719934937,1,0.869915316,-1,0.719934937,0.761904762,1,0.904761905,-1,0.761904762,0.965986395,0.123412698,0.042475551,0.717441252,0.798217297,250
0.7155882,1,0.914430607,-1,0.7155882,0.764285714,1,0.928571429,-1,0.764285714,0.963718821,0.130668934,0.041804515,0.726907526,0.817127432,260
0.741196921,1,0.943882603,-1,0.741196921,0.778571429,1,0.952380952,-1,0.778571429,0.975056689,0.131349206,0.040512396,0.707093579,0.79952223,270
0.731804834,1,0.910649602,-1,0.731804834,0.773809524,1,0.928571429,-1,0.773809524,0.972789116,0.122335601,0.040806941,0.704022476,0.808594125,280
0.733256101,1,0.908693552,-1,0.733256101,0.778571429,1,0.928571429,-1,0.778571429,0.970521542,0.131632653,0.040528451,0.704449586,0.787592479,290
0.735396807,1,0.910649602,-1,0.735396807,0.780952381,1,0.928571429,-1,0.780952381,0.967120181,0.12755102,0.040173018,0.71537011,0.799083948,300
